track_name,artist_name,valence_%,energy_%,danceability_%,acousticness_%,instrumentalness_%,cover_url,mood
El Azul,"Junior H, Peso Pluma",0.84,0.65,0.56,0.23,0.0,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6,neutral
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0.91,0.5,0.76,0.54,0.0,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,neutral
I'm Good (Blue),"Bebe Rexha, David Guetta",0.38,0.97,0.56,0.04,0.0,Not Found,angry
See You Again,"Tyler, The Creator, Kali Uchis",0.58,0.56,0.56,0.37,0.0,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,neutral
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",0.75,0.58,0.77,0.52,0.0,https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116,neutral
Angels Like You,Miley Cyrus,0.49,0.64,0.67,0.1,0.0,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,neutral
I Ain't Worried,OneRepublic,0.82,0.81,0.71,0.11,0.0,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,happy
Die For You,The Weeknd,0.51,0.52,0.59,0.09,0.0,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,neutral
Starboy,"The Weeknd, Daft Punk",0.49,0.59,0.68,0.16,0.0,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,neutral
Die For You - Remix,"Ariana Grande, The Weeknd",0.5,0.53,0.53,0.23,0.0,Not Found,neutral
El Cielo,"Feid, Myke Towers, Sky Rompiendo",0.17,0.64,0.72,0.07,0.0,Not Found,neutral
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",0.23,0.91,0.6,0.0,0.0,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a,angry
AMARGURA,Karol G,0.55,0.7,0.92,0.18,0.0,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,neutral
(It Goes Like) Nanana - Edit,Peggy Gou,0.96,0.88,0.67,0.12,0.19,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522,happy
Another Love,Tom Odell,0.13,0.54,0.45,0.7,0.0,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,neutral
Blinding Lights,The Weeknd,0.38,0.8,0.5,0.0,0.0,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,angry
Moonlight,Kali Uchis,0.88,0.72,0.64,0.51,0.0,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,happy
La Bachata,Manuel Turizo,0.85,0.68,0.84,0.58,0.0,https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a,neutral
S91,Karol G,0.42,0.72,0.86,0.59,0.0,https://i.scdn.co/image/ab67616d0000b273890cfb712167a0186918644e,angry
cardigan,Taylor Swift,0.53,0.58,0.61,0.55,0.0,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,neutral
Tï¿½ï¿,"dennis, MC Kevin o Chris",0.59,0.96,0.86,0.5,0.01,Not Found,neutral
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",0.86,0.81,0.7,0.25,0.0,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,happy
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",0.72,0.59,0.88,0.62,0.0,https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49,neutral
BESO,"Rauw Alejandro, ROSALï¿½",0.53,0.64,0.77,0.74,0.0,Not Found,neutral
Hey Mor,"Ozuna, Feid",0.4,0.59,0.9,0.0,0.0,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45,neutral
Yellow,Chris Molitor,0.28,0.66,0.43,0.0,0.0,https://i.scdn.co/image/ab67616d0000b273be011d16b9360a7dee109774,neutral
Karma,Taylor Swift,0.1,0.62,0.64,0.07,0.0,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,neutral
People,Libianca,0.71,0.42,0.59,0.55,0.0,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735,relaxed
Overdrive,Post Malone,0.48,0.73,0.56,0.0,0.0,https://i.scdn.co/image/ab67616d0000b27372694fed173af6d24d22eefb,angry
Enchanted (Taylor's Version),Taylor Swift,0.22,0.53,0.51,0.01,0.0,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,neutral
BABY HELLO,"Rauw Alejandro, Bizarrap",0.84,0.89,0.77,0.17,0.0,https://i.scdn.co/image/ab67616d0000b2730ff08e0346b55268e735a4e9,happy
Heat Waves,Glass Animals,0.53,0.53,0.76,0.44,0.0,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,neutral
golden hour,JVKE,0.14,0.59,0.51,0.65,0.18,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954,neutral
Sweater Weather,The Neighbourhood,0.41,0.81,0.61,0.05,0.02,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,angry
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",0.55,0.78,0.62,0.01,0.03,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf,neutral
Viva La Vida,Coldplay,0.42,0.62,0.49,0.09,0.0,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,neutral
Here With Me,d4vd,0.27,0.48,0.58,0.5,0.0,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7,neutral
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",0.24,0.47,0.71,0.01,0.0,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,neutral
Yandel 150,"Yandel, Feid",0.58,0.73,0.78,0.05,0.0,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700,neutral
CORAZï¿½ï¿½N VA,Maria Becerra,0.4,0.79,0.68,0.33,0.0,Not Found,angry
Riptide,Vance Joy,0.5,0.73,0.48,0.43,0.0,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,neutral
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",0.32,0.57,0.34,0.78,0.0,Not Found,neutral
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",0.36,0.34,0.63,0.76,0.0,Not Found,sad
Back To December (Taylor's Version),Taylor Swift,0.2,0.64,0.5,0.01,0.0,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,neutral
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",0.48,0.76,0.59,0.04,0.0,Not Found,angry
El Merengue,"Marshmello, Manuel Turizo",0.7,0.68,0.78,0.03,0.01,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f,neutral
Someone You Loved,Lewis Capaldi,0.45,0.41,0.5,0.75,0.0,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,neutral
Me Porto Bonito,"Chencho Corleone, Bad Bunny",0.43,0.71,0.91,0.09,0.0,Not Found,angry
Makeba,Jain,0.4,0.66,0.82,0.39,0.51,https://i.scdn.co/image/ab67616d0000b27364ba66f8a81c52364e55db50,neutral
MONTAGEM - FR PUNK,"Ayparia, unxbected",0.84,0.82,0.63,0.7,0.08,Not Found,happy
Fast Car,Luke Combs,0.67,0.6,0.71,0.19,0.0,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,neutral
What It Is (Solo Version),Doechii,0.76,0.76,0.74,0.06,0.0,https://i.scdn.co/image/ab67616d0000b2732ee85751f6f503fa9a533eba,happy
Coco Chanel,"Bad Bunny, Eladio Carrion",0.14,0.76,0.68,0.04,0.0,Not Found,angry
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,0.19,0.53,0.62,0.11,0.0,Not Found,neutral
Still With You,Jung Kook,0.34,0.47,0.53,0.09,0.0,https://i.scdn.co/image/ab67616d0000b273a7f42c375578df426b37638d,neutral
All My Life (feat. J. Cole),"J. Cole, Lil Durk",0.69,0.44,0.83,0.15,0.0,Not Found,relaxed
Say Yes To Heaven,Lana Del Rey,0.17,0.35,0.49,0.71,0.09,https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae,sad
Snooze,SZA,0.39,0.55,0.56,0.14,0.0,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,neutral
Summertime Sadness,Lana Del Rey,0.24,0.66,0.56,0.07,0.0,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7,neutral
Take Two,BTS,0.57,0.59,0.62,0.03,0.0,https://i.scdn.co/image/ab67616d0000b2738a701e76e8845928f6cd81c8,neutral
Lover,Taylor Swift,0.5,0.55,0.43,0.5,0.0,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,neutral
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",0.17,0.71,0.68,0.15,0.0,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,angry
Chemical,Post Malone,0.37,0.9,0.5,0.0,0.0,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c,angry
Mockingbird,Eminem,0.24,0.67,0.62,0.21,0.0,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023,neutral
New Jeans,NewJeans,0.53,0.72,0.81,0.51,0.0,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,neutral
Primera Cita,Carin Leon,0.5,0.4,0.54,0.61,0.0,https://i.scdn.co/image/ab67616d0000b273dc0bb68a08c069cf8467f1bd,neutral
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",0.92,0.8,0.8,0.04,0.0,Not Found,happy
Dandelions,Ruth B.,0.45,0.69,0.61,0.02,0.0,https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707,neutral
Bones,Imagine Dragons,0.65,0.72,0.77,0.02,0.0,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,neutral
Set Fire to the Rain,Adele,0.47,0.68,0.61,0.0,0.0,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,neutral
Money Trees,"Kendrick Lamar, Jay Rock",0.37,0.53,0.74,0.07,0.0,https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797,neutral
Tak Segampang Itu,Anggi Marito,0.18,0.44,0.51,0.76,0.0,https://i.scdn.co/image/ab67616d0000b2732844c4e4e984ea408ab7fd6f,neutral
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",0.79,0.62,0.77,0.33,0.01,Not Found,neutral
Mine (Taylor's Version),Taylor Swift,0.49,0.78,0.65,0.0,0.0,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,angry
Everybody Wants To Rule The World,Tears For Fears,0.54,0.81,0.64,0.36,0.0,https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235,neutral
No Role Modelz,J. Cole,0.47,0.52,0.7,0.3,0.0,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,neutral
Tattoo,Loreen,0.3,0.78,0.55,0.24,0.0,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6,angry
Rara Vez,"Taiu, Milo j",0.96,0.71,0.84,0.18,0.0,https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100,happy
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",0.89,0.85,0.82,0.04,0.0,Not Found,happy
august,Taylor Swift,0.42,0.61,0.51,0.53,0.0,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,neutral
LUNA,"Junior H, Peso Pluma",0.79,0.63,0.75,0.33,0.0,Not Found,neutral
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",0.31,0.87,0.64,0.04,0.04,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0,angry
Nonsense,Sabrina Carpenter,0.68,0.68,0.74,0.03,0.0,https://i.scdn.co/image/ab67616d0000b273700f7bf79c9f063ad0362bdf,neutral
Que Vuelvas,"Carin Leon, Grupo Frontera",0.78,0.64,0.49,0.19,0.0,https://i.scdn.co/image/ab67616d0000b2735c7336d25ca101fbb0855647,neutral
Por las Noches,Peso Pluma,0.39,0.6,0.81,0.31,0.0,https://i.scdn.co/image/ab67616d0000b273427d9aa38866b43ed45f6b0c,neutral
Feliz Cumpleaï¿½ï¿½os Fe,Feid,0.57,0.55,0.87,0.1,0.0,Not Found,neutral
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",0.88,0.93,0.63,0.03,0.0,Not Found,happy
Watermelon Sugar,Harry Styles,0.56,0.82,0.55,0.12,0.0,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,neutral
lovely - Bonus Track,"Billie Eilish, Khalid",0.12,0.3,0.35,0.93,0.0,Not Found,sad
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",0.59,0.65,0.78,0.1,0.0,Not Found,neutral
Queencard,(G)I-DLE,0.69,0.83,0.82,0.03,0.0,https://i.scdn.co/image/ab67616d0000b27382dd2427e6d302711b1b9616,neutral
OMG,NewJeans,0.74,0.77,0.8,0.36,0.0,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,happy
Radio,Lana Del Rey,0.2,0.86,0.42,0.21,0.0,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7,angry
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",0.5,0.63,0.78,0.27,0.0,Not Found,neutral
505,Arctic Monkeys,0.2,0.85,0.52,0.0,0.0,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,angry
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",0.22,0.54,0.63,0.46,0.0,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,neutral
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",0.48,0.53,0.75,0.18,0.0,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,neutral
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",0.96,0.72,0.76,0.32,0.0,Not Found,happy
Perfect,Ed Sheeran,0.17,0.45,0.6,0.16,0.0,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,neutral
Romantic Homicide,d4vd,0.2,0.55,0.56,0.45,0.01,https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0,neutral
Believer,Imagine Dragons,0.74,0.78,0.77,0.04,0.0,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,happy
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",0.65,0.5,0.84,0.67,0.0,Not Found,neutral
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",0.68,0.65,0.93,0.42,0.0,https://i.scdn.co/image/ab67616d0000b27319d60821e80a801506061776,neutral
Without Me,Eminem,0.67,0.66,0.92,0.0,0.0,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,neutral
QUEMA,"Sog, Ryan Castro, Peso Pluma",0.92,0.89,0.79,0.05,0.0,Not Found,happy
Stargirl Interlude,"The Weeknd, Lana Del Rey",0.52,0.48,0.59,0.38,0.05,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,neutral
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",0.27,0.69,0.65,0.08,0.0,Not Found,neutral
Somewhere Only We Know,Keane,0.33,0.59,0.45,0.06,0.0,https://i.scdn.co/image/ab67616d0000b273045d0a38105fbe7bde43c490,neutral
Those Eyes,New West,0.24,0.35,0.6,0.73,0.0,https://i.scdn.co/image/ab67616d0000b2731bb5dc21200bfc56d8f7ef41,sad
