track_name,artist_name,valence_%,energy_%,danceability_%,acousticness_%,instrumentalness_%,cover_url,mood
Creep,Radiohead,0.12,0.34,0.53,0.01,0.0,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95,sad
Car's Outside,James Arthur,0.24,0.56,0.34,0.04,0.0,https://i.scdn.co/image/ab67616d0000b273dc16d839ab77c64bdbeb3660,neutral
Apocalypse,Cigarettes After Sex,0.17,0.47,0.37,0.02,0.46,https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161,neutral
Cheques,Shubh,0.36,0.63,0.74,0.26,0.0,https://i.scdn.co/image/ab67616d0000b2731a8c4618eda885a406958dd0,neutral
Pink + White,Frank Ocean,0.54,0.55,0.54,0.67,0.0,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,neutral
Circles,Post Malone,0.59,0.75,0.7,0.24,0.0,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,neutral
Just The Way You Are,Bruno Mars,0.46,0.85,0.63,0.01,0.0,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,angry
Take Me To Church,Hozier,0.41,0.66,0.57,0.63,0.0,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2,neutral
Bebe Dame,"Fuerza Regida, Grupo Frontera",0.75,0.6,0.54,0.3,0.0,https://i.scdn.co/image/ab67616d0000b2735f3aef5159749e4b61686670,neutral
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,0.49,0.73,0.63,0.05,0.0,Not Found,angry
Titi Me Preguntï¿,Bad Bunny,0.19,0.72,0.65,0.1,0.0,Not Found,angry
Better Than Revenge (Taylor's Version),Taylor Swift,0.67,0.89,0.5,0.0,0.0,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,neutral
Shut up My Moms Calling,Hotel Ugly,0.37,0.41,0.48,0.32,0.0,https://i.scdn.co/image/ab67616d0000b273350ab7a839c04bfd5225a9f5,neutral
Have You Ever Seen The Rain?,Creedence Clearwater Revival,0.76,0.7,0.74,0.07,0.0,https://i.scdn.co/image/ab67616d0000b27351f311c2fb06ad2789e3ff91,neutral
Es un Secreto,Plan B,0.52,0.77,0.84,0.12,0.0,https://i.scdn.co/image/ab67616d0000b273913ef74e0272d688c512200b,neutral
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",0.55,0.8,0.62,0.15,0.0,Not Found,neutral
Ditto,NewJeans,0.18,0.64,0.81,0.03,0.0,https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f,neutral
Take On Me,a-ha,0.86,0.9,0.57,0.02,0.0,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,happy
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",0.2,0.48,0.61,0.21,0.0,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,neutral
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",0.24,0.67,0.53,0.11,0.0,https://i.scdn.co/image/ab67616d0000b273445afb6341d2685b959251cc,neutral
Acrï¿½ï¿½s,Shakira,0.35,0.48,0.75,0.84,0.0,Not Found,neutral
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",0.79,0.73,0.77,0.15,0.0,https://i.scdn.co/image/ab67616d0000b273fbf10e7799f39fbcd301e55a,happy
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",0.53,0.55,0.56,0.53,0.0,Not Found,neutral
S-Class,Stray Kids,0.67,0.78,0.89,0.09,0.0,https://i.scdn.co/image/ab67616d0000b273e27ba26bc14a563bf3d09882,neutral
Hits Different,Taylor Swift,0.24,0.78,0.67,0.15,0.0,https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0,angry
Chanel,"Becky G, Peso Pluma",0.53,0.68,0.85,0.4,0.0,https://i.scdn.co/image/ab67616d0000b273c3bb167f0e78b15e5588c296,neutral
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",0.05,0.3,0.78,0.21,0.0,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,sad
Area Codes,"Kaliii, Kaliii",0.51,0.39,0.82,0.02,0.0,https://i.scdn.co/image/ab67616d0000b2733eecc265c134153c14794aab,neutral
Abcdario,"Junior H, Eden Muï¿½ï",0.42,0.43,0.7,0.78,0.0,Not Found,neutral
Obsessed,"Abhijay Sharma, Riar Saab",0.85,0.74,0.8,0.62,0.0,Not Found,happy
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",0.45,0.62,0.73,0.28,0.0,Not Found,neutral
FLOWER,JISOO,0.64,0.39,0.84,0.03,0.0,https://i.scdn.co/image/ab67616d0000b273f35b8a6c03cc633f734bd8ac,relaxed
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",0.28,0.55,0.77,0.18,0.0,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,neutral
Eyes Closed,Ed Sheeran,0.39,0.53,0.78,0.3,0.0,https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796,neutral
Escapism.,"RAYE, 070 Shake",0.25,0.74,0.54,0.14,0.0,https://i.scdn.co/image/ab67616d0000b27394e5237ce925531dbb38e75f,angry
La Jumpa,"Arcangel, Bad Bunny",0.58,0.7,0.71,0.3,0.0,https://i.scdn.co/image/ab67616d0000b27330326b23e30ae93d4d48165b,neutral
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",0.07,0.62,0.62,0.06,0.0,https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0,neutral
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",0.45,0.59,0.72,0.14,0.0,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,neutral
Las Morras,"BLESSD, Peso Pluma",0.9,0.84,0.78,0.31,0.0,Not Found,happy
CHORRITO PA LAS ANIMAS,Feid,0.61,0.83,0.74,0.11,0.0,https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99,neutral
Ch y la Pizza,"Fuerza Regida, Natanael Cano",0.85,0.6,0.66,0.4,0.0,https://i.scdn.co/image/ab67616d0000b273cdbbe3160616f7c85e2eb2c8,neutral
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",0.32,0.4,0.66,0.81,0.0,Not Found,neutral
Players,Coi Leray,0.62,0.52,0.95,0.03,0.0,https://i.scdn.co/image/ab67616d0000b2731cf7cf4446b496525e423465,neutral
Bite Me,ENHYPEN,0.69,0.78,0.8,0.28,0.0,https://i.scdn.co/image/ab67616d0000b2731d03b5e88cee6870778a4d27,neutral
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",0.61,0.58,0.76,0.06,0.0,https://i.scdn.co/image/ab67616d0000b2736234c2c6d4bb935839ac4719,neutral
Normal,Feid,0.59,0.56,0.71,0.04,0.0,https://i.scdn.co/image/ab67616d0000b273b764865b38a71f70dfd0dbcb,neutral
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",0.26,0.6,0.59,0.46,0.01,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,neutral
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",0.75,0.92,0.63,0.31,0.0,https://i.scdn.co/image/ab67616d0000b2736ccbcc3358d31dcba6e7c035,happy
Bad Habit,Steve Lacy,0.69,0.51,0.69,0.63,0.0,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,neutral
CUFF IT,Beyoncï¿,0.64,0.69,0.78,0.04,0.0,Not Found,neutral
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",0.14,0.74,0.43,0.01,0.0,https://i.scdn.co/image/ab67616d0000b273f19310c007c0fad365b0542e,angry
69,"Nicky Jam, Feid",0.58,0.62,0.79,0.11,0.0,https://i.scdn.co/image/ab67616d0000b273ea97d86f1fa8532cd8c75188,neutral
Niï¿½ï¿½a Bo,"Sean Paul, Feid",0.47,0.62,0.82,0.1,0.0,Not Found,neutral
Search & Rescue,Drake,0.54,0.44,0.82,0.06,0.0,https://i.scdn.co/image/ab67616d0000b273cace8a4b2ff924c9e12e3a96,neutral
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",0.2,0.7,0.78,0.01,0.0,Not Found,neutral
Lavender Haze,Taylor Swift,0.1,0.44,0.73,0.26,0.0,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,neutral
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",0.59,0.51,0.92,0.41,0.51,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,neutral
Efecto,Bad Bunny,0.23,0.48,0.8,0.14,0.0,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,neutral
Erro Gostoso - Ao Vivo,Simone Mendes,0.63,0.89,0.59,0.18,0.0,https://i.scdn.co/image/ab67616d0000b2735559a80512e3986640b0140d,neutral
Cupido,Tini,0.63,0.58,0.91,0.52,0.0,https://i.scdn.co/image/ab67616d0000b273f5409c637b9a7244e0c0d11d,neutral
Just Wanna Rock,Lil Uzi Vert,0.04,0.55,0.49,0.07,0.0,https://i.scdn.co/image/ab67616d0000b273438799bc344744c12028bb0f,neutral
Unstoppable,Sia,0.27,0.78,0.47,0.11,0.0,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,angry
Until I Found You,Stephen Sanchez,0.25,0.51,0.34,0.69,0.0,https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244,neutral
Rich Flex,"Drake, 21 Savage",0.42,0.52,0.56,0.05,0.0,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,neutral
Easy On Me,Adele,0.13,0.37,0.6,0.58,0.0,https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4,sad
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",0.55,0.47,0.84,0.26,0.0,Not Found,neutral
Danger (Spider) (Offset & JID),"Offset, JID",0.25,0.69,0.83,0.04,0.0,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,neutral
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,0.55,0.67,0.67,0.6,0.0,Not Found,neutral
The Real Slim Shady,Eminem,0.78,0.66,0.95,0.03,0.0,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,neutral
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",0.96,0.79,0.84,0.43,0.0,Not Found,happy
The Color Violet,Tory Lanez,0.46,0.53,0.65,0.16,0.0,https://i.scdn.co/image/ab67616d0000b2730c5f23cbf0b1ab7e37d0dc67,neutral
Glimpse of Us,Joji,0.27,0.32,0.44,0.89,0.0,https://i.scdn.co/image/ab67616d0000b27308596cc28b9f5b00bfe08ae7,sad
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",0.56,0.66,0.62,0.18,0.0,Not Found,neutral
Curtains,Ed Sheeran,0.44,0.76,0.5,0.1,0.0,https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796,angry
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",0.38,0.88,0.8,0.11,0.0,Not Found,angry
Haegeum,Agust D,0.83,0.84,0.7,0.31,0.0,https://i.scdn.co/image/ab67616d0000b273fa9247b68471b82d2125651e,happy
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",0.69,0.58,0.77,0.39,0.0,Not Found,neutral
MIENTRAS ME CURO DEL CORA,Karol G,0.57,0.48,0.52,0.86,0.0,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,neutral
Never Felt So Alone,Labrinth,0.36,0.41,0.44,0.5,0.0,https://i.scdn.co/image/ab67616d0000b2737dda6cb97a57f116f6fbf0be,neutral
X SI VOLVEMOS,"Karol G, Romeo Santos",0.58,0.78,0.79,0.34,0.0,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,neutral
ceilings,Lizzy McAlpine,0.27,0.33,0.51,0.48,0.0,https://i.scdn.co/image/ab67616d0000b273d370fdc4dbc47778b9b667c3,sad
Cupid,Fifty Fifty,0.94,0.66,0.77,0.65,0.0,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,neutral
I AM,IVE,0.38,0.88,0.68,0.01,0.0,https://i.scdn.co/image/ab67616d0000b27325ef3cec1eceefd4db2f91c8,angry
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,0.75,0.73,0.74,0.42,0.0,Not Found,happy
Shorty Party,"Cartel De Santa, La Kelly",0.47,0.47,0.93,0.33,0.0,https://i.scdn.co/image/ab67616d0000b273608e249e118a39e897f149ce,neutral
Super,SEVENTEEN,0.35,0.88,0.77,0.16,0.0,https://i.scdn.co/image/ab67616d0000b27380e31ba0c05187e6310ef264,angry
Slut Me Out,NLE Choppa,0.71,0.61,0.94,0.12,0.0,https://i.scdn.co/image/ab67616d0000b27349a4f6c9a637e02252a0076d,neutral
Double Fantasy (with Future),"The Weeknd, Future",0.1,0.57,0.6,0.01,0.0,https://i.scdn.co/image/ab67616d0000b273c7d6fe09dfe4af1580e59705,neutral
All Of The Girls You Loved Before,Taylor Swift,0.4,0.47,0.72,0.71,0.0,https://i.scdn.co/image/ab67616d0000b2738481d8f15859aa5bae75ee17,neutral
PROVENZA,Karol G,0.53,0.52,0.87,0.66,0.01,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,neutral
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",0.74,0.68,0.9,0.14,0.0,Not Found,neutral
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",0.8,0.59,0.57,0.08,0.0,https://i.scdn.co/image/ab67616d0000b273aab35973ece2916fb24244fe,neutral
Shivers,Ed Sheeran,0.82,0.86,0.79,0.28,0.0,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,happy
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",0.8,0.81,0.76,0.19,0.0,Not Found,happy
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",0.26,0.7,0.76,0.01,0.0,https://i.scdn.co/image/ab67616d0000b27346313223adf2b6d726388328,neutral
Komang,Raim Laode,0.35,0.41,0.7,0.41,0.0,https://i.scdn.co/image/ab67616d0000b273f20ec6ba1f431a90dbf2e8b6,neutral
DESPECHï¿,ROSALï¿½,0.78,0.62,0.92,0.18,0.0,Not Found,neutral
Made You Look,Meghan Trainor,0.88,0.53,0.84,0.35,0.0,https://i.scdn.co/image/ab67616d0000b2731a4f1ada93881da4ca8060ff,neutral
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",0.36,0.9,0.69,0.01,0.1,Not Found,angry
No Se Va,Grupo Frontera,0.69,0.53,0.59,0.12,0.0,https://i.scdn.co/image/ab67616d0000b273042b5cc9a1a0a97cfc005ee8,neutral
Punto G,Quevedo,0.55,0.76,0.75,0.25,0.0,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0,neutral
Lovers Rock,TV Girl,0.57,0.87,0.56,0.0,0.01,https://i.scdn.co/image/ab67616d0000b273e1bc1af856b42dd7fdba9f84,neutral
METAMORPHOSIS,INTERWORLD,0.15,0.64,0.59,0.43,0.9,https://i.scdn.co/image/ab67616d0000b273b852a616ae3a49a1f6b0f16e,neutral
Mami Chula,"Quevedo, Jhayco",0.33,0.7,0.8,0.22,0.0,Not Found,neutral
En Paris,"El Chachito, Junior H",0.77,0.48,0.7,0.37,0.0,https://i.scdn.co/image/ab67616d0000b27354c372ef8e7b53bb3c932ac5,relaxed
Set Me Free Pt.2,Jimin,0.56,0.82,0.59,0.12,0.0,https://i.scdn.co/image/ab67616d0000b2734f4ec2c2a865569bd4a067a4,neutral
I Was Never There,"The Weeknd, Gesaffelstein",0.17,0.74,0.32,0.14,0.0,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,angry
Don't ever say love me (feat. RM of BTS),"RM, Colde",0.19,0.48,0.54,0.36,0.0,Not Found,neutral
Shut Down,BLACKPINK,0.67,0.69,0.82,0.0,0.0,https://i.scdn.co/image/ab67616d0000b273002ef53878df1b4e91c15406,neutral
Gato de Noche,"Nengo Flow, Bad Bunny",0.61,0.66,0.89,0.17,0.0,https://i.scdn.co/image/ab67616d0000b273ed132404686f567c8f793058,neutral
Call Out My Name,The Weeknd,0.17,0.6,0.45,0.21,0.0,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,neutral
Like Crazy (English Version),Jimin,0.32,0.76,0.62,0.0,0.0,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,angry
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",0.86,0.68,0.7,0.24,0.0,Not Found,neutral
Sunroof,"Nicky Youre, Dazy",0.84,0.71,0.77,0.35,0.0,https://i.scdn.co/image/ab67616d0000b273ecd970d1d2623b6c7fc6080c,happy
Lose Yourself - Soundtrack Version,Eminem,0.06,0.73,0.7,0.01,0.0,Not Found,angry
Superman,"Eminem, Dina Rae",0.64,0.76,0.8,0.02,0.0,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,neutral
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",0.53,0.67,0.82,0.34,0.0,Not Found,neutral
People Pt.2 (feat. IU),"IU, Agust D",0.44,0.57,0.73,0.39,0.0,Not Found,neutral
REMIX EXCLUSIVO,Feid,0.71,0.56,0.65,0.04,0.0,https://i.scdn.co/image/ab67616d0000b273adf20f92c3153248fd7aac9e,neutral
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",0.79,0.78,0.72,0.55,0.0,Not Found,happy
DOGTOOTH,"Tyler, The Creator",0.8,0.65,0.71,0.51,0.0,https://i.scdn.co/image/ab67616d0000b273aa95a399fd30fbb4f6f59fca,neutral
10:35,"Tiï¿½ï¿½sto, Tate M",0.7,0.79,0.7,0.07,0.0,Not Found,neutral
SORRY NOT SORRY,"Tyler, The Creator",0.5,0.8,0.48,0.4,0.0,Not Found,neutral
HAPPY,NF,0.22,0.86,0.73,0.31,0.0,https://i.scdn.co/image/ab67616d0000b273ff8a4276b3be31c839557439,angry
La Bebe,Yng Lvcas,0.75,0.46,0.78,0.62,0.0,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9,relaxed
I Know - PR1SVX Edit,"Kanii, PR1ISVX",0.11,0.76,0.67,0.08,0.47,https://i.scdn.co/image/ab67616d0000b273efae10889cd442784f3acd3d,angry
Late Night Talking,Harry Styles,0.9,0.73,0.71,0.3,0.0,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,happy
Leï¿½,Marï¿½ï¿½lia Mendo,0.79,0.87,0.74,0.45,0.0,Not Found,happy
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",0.63,0.79,0.65,0.03,0.0,Not Found,neutral
Something in the Orange,Zach Bryan,0.22,0.38,0.59,0.42,0.0,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb,sad
VOID,Melanie Martinez,0.42,0.66,0.72,0.18,0.04,https://i.scdn.co/image/ab67616d0000b2733c6c534cdacc9cf53e6d2977,neutral
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",0.76,0.79,0.7,0.26,0.0,Not Found,happy
Midnight Rain,Taylor Swift,0.18,0.37,0.64,0.72,0.0,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,sad
If We Ever Broke Up,Mae Stephens,0.96,0.73,0.9,0.62,0.0,https://i.scdn.co/image/ab67616d0000b273918207ec2316cec13a0e036f,happy
You Proof,Morgan Wallen,0.64,0.85,0.73,0.25,0.0,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,neutral
LA INOCENTE,"Feid, Mora",0.46,0.79,0.76,0.31,0.0,Not Found,angry
Malas Decisiones,Kenia OS,0.64,0.79,0.81,0.05,0.0,https://i.scdn.co/image/ab67616d0000b2739afe5698b0a9559dabc44ac8,neutral
Murder In My Mind,Kordhell,0.57,0.97,0.71,0.01,0.0,https://i.scdn.co/image/ab67616d0000b2731440ffaa43c53d65719e0150,neutral
Gangsta's Paradise,"Coolio, L.V.",0.4,0.61,0.63,0.09,0.0,https://i.scdn.co/image/ab67616d0000b273c31d3c870a3dbaf7b53186cc,neutral
CAIRO,"Karol G, Ovy On The Drums",0.43,0.69,0.95,0.47,0.0,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,neutral
I Love You So,The Walters,0.46,0.67,0.58,0.65,0.0,https://i.scdn.co/image/ab67616d0000b2739214ff0109a0e062f8a6cf0f,neutral
Dark Red,Steve Lacy,0.77,0.78,0.6,0.45,0.0,https://i.scdn.co/image/ab67616d0000b2733d2dfa42f771cd458b194979,happy
Say You Won't Let Go,James Arthur,0.45,0.56,0.4,0.69,0.0,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab,neutral
The Hills,The Weeknd,0.12,0.57,0.36,0.09,0.0,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,neutral
Heart To Heart,Mac DeMarco,0.64,0.14,0.9,0.67,0.35,https://i.scdn.co/image/ab67616d0000b273fa1323bb50728c7489980672,relaxed
Peaches (from The Super Mario Bros. Movie),Jack Black,0.41,0.31,0.71,0.79,0.0,Not Found,neutral
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",0.72,0.87,0.77,0.17,0.0,Not Found,happy
LOKERA,"Brray, Rauw Alejandro, Lyanno",0.58,0.83,0.83,0.21,0.0,Not Found,neutral
Low,SZA,0.34,0.55,0.7,0.43,0.0,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,neutral
Numb,Linkin Park,0.24,0.86,0.5,0.0,0.0,https://i.scdn.co/image/ab67616d0000b273b4ad7ebaf4575f120eb3f193,angry
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",0.3,0.77,0.64,0.46,0.0,https://i.scdn.co/image/ab67616d0000b2734b0ddebba0d5b34f2a2f07a4,angry
on the street (with J. Cole),"j-hope, J. Cole",0.81,0.82,0.68,0.53,0.0,https://i.scdn.co/image/ab67616d0000b2735e8286ff63f7efce1881a02b,happy
One Thing At A Time,Morgan Wallen,0.92,0.91,0.61,0.0,0.0,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,happy
Miss You,"Robin Schulz, Oliver Tree",0.2,0.74,0.59,0.01,0.0,Not Found,angry
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,0.67,0.8,0.64,0.0,0.0,Not Found,neutral
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,0.43,0.76,0.66,0.49,0.0,Not Found,angry
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",0.44,0.67,0.84,0.08,0.0,https://i.scdn.co/image/ab67616d0000b273feeff698e6090e6b02f21ec0,neutral
Everything I Love,Morgan Wallen,0.72,0.85,0.56,0.0,0.0,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,happy
Heaven,Niall Horan,0.68,0.76,0.57,0.07,0.0,https://i.scdn.co/image/ab67616d0000b2732a368fea49f5c489a9dc3949,neutral
LET GO,Central Cee,0.51,0.45,0.74,0.86,0.0,https://i.scdn.co/image/ab67616d0000b273cbb3701743a568e7f1c4e967,neutral
Sial,Mahalini,0.2,0.43,0.56,0.89,0.0,https://i.scdn.co/image/ab67616d0000b2732f7bb02cb4b74bd7c2406428,neutral
I Wrote The Book,Morgan Wallen,0.83,0.81,0.68,0.09,0.0,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,happy
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",0.44,0.56,0.59,0.8,0.0,Not Found,neutral
SPIT IN MY FACE!,ThxSoMch,0.65,0.79,0.73,0.05,0.02,https://i.scdn.co/image/ab67616d0000b27360ddc59c8d590a37cf2348f3,neutral
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",0.66,0.74,0.79,0.08,0.0,Not Found,neutral
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",0.49,0.76,0.5,0.12,0.0,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,angry
Red Ruby Da Sleeze,Nicki Minaj,0.29,0.73,0.7,0.12,0.0,https://i.scdn.co/image/ab67616d0000b273064c51559ea4a86bd557a86f,angry
Kahani Suno 2.0,Kaifi Khalil,0.26,0.38,0.58,0.91,0.0,https://i.scdn.co/image/ab67616d0000b2734697d4ee22b3f63c17a3b9ec,sad
Nobody Gets Me,SZA,0.28,0.28,0.36,0.81,0.0,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,sad
PERO Tï¿,"Karol G, Quevedo",0.68,0.79,0.86,0.39,0.0,Not Found,neutral
Hype Boy,NewJeans,0.78,0.94,0.59,0.27,0.0,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,happy
Bloody Mary,Lady Gaga,0.49,0.65,0.59,0.02,0.0,https://i.scdn.co/image/ab67616d0000b273a47c0e156ea3cebe37fdcab8,neutral
Monotonï¿½,"Ozuna, Shakira",0.82,0.7,0.87,0.42,0.0,Not Found,neutral
ýýý98 Braves,Morgan Wallen,0.48,0.67,0.49,0.1,0.0,Not Found,neutral
WANDA,Quevedo,0.96,0.63,0.72,0.25,0.0,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0,neutral
Thought You Should Know,Morgan Wallen,0.51,0.7,0.53,0.49,0.0,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,neutral
In The End,Linkin Park,0.4,0.9,0.55,0.01,0.0,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a,angry
Zona De Perigo,Leo Santana,0.97,0.77,0.81,0.75,0.0,https://i.scdn.co/image/ab67616d0000b2737fc5a85369c7df7f5f63efa3,happy
Lovezinho,Treyce,0.61,0.59,0.82,0.3,0.0,Not Found,neutral
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",0.43,0.69,0.74,0.12,0.0,https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97,neutral
Neverita,Bad Bunny,0.43,0.5,0.88,0.07,0.0,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,neutral
Vista Al Mar,Quevedo,0.49,0.56,0.76,0.8,0.12,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0,neutral
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",0.4,0.36,0.53,0.73,0.0,Not Found,neutral
